"","DeployID","Ptt","DepthSensor","Source","Instr","Count","Start","End","What","Number","Shape","DepthMin","DepthMax","DurationMin","DurationMax","Shallow","Deep","start","end","t.diff","flag","divenum","depth","duration"
"2","Tt0022",110608,NA,"Transmission","Mk10",2,"8/31/16 23:28","8/31/16 23:33","Dive",1,"Square",146,149.5,331,333,NA,NA,2016-08-31 19:28:00,2016-08-31 19:33:00,NA,0,1,147.75,332
"3","Tt0022",110608,NA,"Transmission","Mk10",2,"8/31/16 23:33","8/31/16 23:35","Surface",NA,"",NA,NA,99,101,100,0,2016-08-31 19:33:00,2016-08-31 19:35:00,0,0,1,NA,100
"4","Tt0022",110608,NA,"Transmission","Mk10",2,"8/31/16 23:35","8/31/16 23:41","Dive",1,"V",182,185.5,361,363,NA,NA,2016-08-31 19:35:00,2016-08-31 19:41:00,0,0,2,183.75,362
"5","Tt0022",110608,NA,"Transmission","Mk10",2,"8/31/16 23:41","8/31/16 23:42","Surface",NA,"",NA,NA,65,67,66,0,2016-08-31 19:41:00,2016-08-31 19:42:00,0,0,2,NA,66
"6","Tt0022",110608,NA,"Transmission","Mk10",2,"8/31/16 23:42","8/31/16 23:47","Dive",1,"V",154,157.5,289,291,NA,NA,2016-08-31 19:42:00,2016-08-31 19:47:00,0,0,3,155.75,290
"7","Tt0022",110608,NA,"Transmission","Mk10",2,"8/31/16 23:47","8/31/16 23:48","Surface",NA,"",NA,NA,63,65,64,0,2016-08-31 19:47:00,2016-08-31 19:48:00,0,0,3,NA,64
"8","Tt0022",110608,NA,"Transmission","Mk10",2,"8/31/16 23:48","8/31/16 23:51","Dive",1,"U",134,137.5,219,221,NA,NA,2016-08-31 19:48:00,2016-08-31 19:51:00,0,0,4,135.75,220
"9","Tt0022",110608,NA,"Transmission","Mk10",2,"8/31/16 23:51","8/31/16 23:53","Surface",NA,"",NA,NA,71,73,67,5,2016-08-31 19:51:00,2016-08-31 19:53:00,0,0,4,NA,72
"10","Tt0022",110608,NA,"Transmission","Mk10",2,"8/31/16 23:53","8/31/16 23:58","Dive",1,"V",89,90.5,313,315,NA,NA,2016-08-31 19:53:00,2016-08-31 19:58:00,0,0,5,89.75,314
"11","Tt0022",110608,NA,"Transmission","Mk10",2,"8/31/16 23:58","8/31/16 23:59","Surface",NA,"",NA,NA,97,99,85,13,2016-08-31 19:58:00,2016-08-31 19:59:00,0,0,5,NA,98
"13","Tt0022",110608,NA,"Transmission","Mk10",1,"9/1/16 0:00","9/1/16 0:04","Dive",1,"V",126,129.5,241,243,NA,NA,2016-08-31 20:00:00,2016-08-31 20:04:00,60,1,6,127.75,242
"14","Tt0022",110608,NA,"Transmission","Mk10",1,"9/1/16 0:04","9/1/16 0:05","Surface",NA,"",NA,NA,75,77,64,12,2016-08-31 20:04:00,2016-08-31 20:05:00,0,0,6,NA,76
"15","Tt0022",110608,NA,"Transmission","Mk10",1,"9/1/16 0:05","9/1/16 0:10","Dive",1,"V",107,108.5,321,323,NA,NA,2016-08-31 20:05:00,2016-08-31 20:10:00,0,0,7,107.75,322
