,DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep,start,end,t.diff,flag,divenum,depth,duration
3,Tt0019,110606,NA,Transmission,Mk10,3,8/30/2016 17:13,8/30/2016 17:18,Dive,1,U,63,64.5,253,255,NA,NA,8/30/2016 13:13,8/30/2016 13:18,0,0,1,63.75,254
4,Tt0019,110606,NA,Transmission,Mk10,3,8/30/2016 17:18,8/30/2016 22:03,Surface,NA,,NA,NA,17070,17130,4413,12687,8/30/2016 13:18,8/30/2016 18:03,0,0,1,NA,17100
5,Tt0019,110606,NA,Transmission,Mk10,3,8/30/2016 22:03,8/30/2016 22:07,Dive,1,V,130,133.5,257,259,NA,NA,8/30/2016 18:03,8/30/2016 18:07,0,0,2,131.75,258
6,Tt0019,110606,NA,Transmission,Mk10,3,8/30/2016 22:07,8/30/2016 22:56,Surface,NA,,NA,NA,2935,2937,1137,1799,8/30/2016 18:07,8/30/2016 18:56,0,0,2,NA,2936
7,Tt0019,110606,NA,Transmission,Mk10,3,8/30/2016 22:56,8/30/2016 22:58,Dive,1,U,111,112.5,155,157,NA,NA,8/30/2016 18:56,8/30/2016 18:58,0,0,3,111.75,156
8,Tt0019,110606,NA,Transmission,Mk10,3,8/30/2016 22:58,8/30/2016 23:02,Surface,NA,,NA,NA,221,223,143,79,8/30/2016 18:58,8/30/2016 19:02,0,0,3,NA,222
9,Tt0019,110606,NA,Transmission,Mk10,3,8/30/2016 23:02,8/30/2016 23:06,Dive,1,U,81,82.5,241,243,NA,NA,8/30/2016 19:02,8/30/2016 19:06,0,0,4,81.75,242
10,Tt0019,110606,NA,Transmission,Mk10,3,8/30/2016 23:06,8/30/2016 23:08,Surface,NA,,NA,NA,95,97,96,0,8/30/2016 19:06,8/30/2016 19:08,0,0,4,NA,96
11,Tt0019,110606,NA,Transmission,Mk10,3,8/30/2016 23:08,8/30/2016 23:16,Dive,1,U,396,403.5,485,487,NA,NA,8/30/2016 19:08,8/30/2016 19:16,0,0,5,399.75,486
13,Tt0019,110606,NA,Transmission,Mk10,2,8/30/2016 23:16,8/30/2016 23:19,Surface,NA,,NA,NA,193,195,194,0,8/30/2016 19:16,8/30/2016 19:19,0,0,5,NA,194
14,Tt0019,110606,NA,Transmission,Mk10,2,8/30/2016 23:19,8/30/2016 23:27,Dive,1,U,396,403.5,505,507,NA,NA,8/30/2016 19:19,8/30/2016 19:27,0,0,6,399.75,506
15,Tt0019,110606,NA,Transmission,Mk10,2,8/30/2016 23:27,8/31/2016 1:01,Surface,NA,,NA,NA,5605,5607,3074,2532,8/30/2016 19:27,8/30/2016 21:01,0,0,6,NA,5606
